,T,E,M,Hc,Hc_err,Msus,Msus_err
0,1.0,-4993.08,2498.26,0.018797440000000006,0.0030408287237496962,0.0012049600000000001,0.0001961522833869481
1,1.1052631578947367,-4984.88,2496.14,0.03767680870748301,0.005386893280552305,0.002728906666666667,0.0003895561751145152
2,1.2105263157894737,-4969.04,2491.9,0.06408149897920609,0.007995899388651641,0.005746260869565218,0.0007265945394676298
3,1.3157894736842106,-4941.64,2484.58,0.145137110016,0.02251181263442745,0.0147207744,0.0025166475001776596
4,1.4210526315789473,-4910.68,2475.96,0.14357155204389577,0.017761204383933107,0.01646058666666667,0.0019359523383308194
5,1.526315789473684,-4870.92,2464.0,0.18625258007134368,0.035101352359533565,0.028890482758620693,0.006731636586790772
6,1.631578947368421,-4795.32,2440.46,0.2444097871383975,0.038351238010320796,0.047185801290322585,0.007280282827093337
7,1.736842105263158,-4723.08,2418.14,0.4344933148209366,0.06562105700427874,0.08842263757575755,0.014061358266201087
8,1.8421052631578947,-4603.76,2375.44,0.45143594004897963,0.06760022939768436,0.13247590399999995,0.020539852848286397
9,1.9473684210526314,-4448.04,2314.86,0.5932612717019723,0.0903058020540696,0.30382343351351354,0.05827846995163852
10,2.052631578947368,-4287.08,2239.76,0.7280829900328734,0.0952291501162405,0.5199379035897439,0.07466413335519485
11,2.1578947368421053,-3977.64,2031.36,1.1317550064009518,0.13101093685196255,2.2674823180487804,0.280068239091586
12,2.263157894736842,-3670.6,1819.26,1.1288940530016225,0.13757444927330975,3.2138831218604658,0.5336260786037531
13,2.3684210526315788,-3128.96,742.76,1.0967182424493827,0.14764413558338066,32.0492983608889,2.9722641900794065
14,2.473684210526316,-2816.88,317.84,0.9955654796921682,0.16227634662971657,13.512951094468086,2.3014969400013285
15,2.5789473684210527,-2620.28,240.18,0.7588669017242813,0.09473515187218978,5.237933586938776,0.6709474220022658
16,2.6842105263157894,-2412.24,187.08,0.6934010498116109,0.0785207226789249,3.5543730070588238,0.7611077315676167
17,2.789473684210526,-2280.88,169.04,0.4514957524528303,0.06815248142111557,2.4135704875471706,0.3362128317094167
18,2.894736842105263,-2148.92,155.66,0.4321686068892563,0.05728025508355509,2.3863895534545456,0.5543765508897998
19,3.0,-2055.08,132.32,0.36668949333333334,0.05069787334465444,1.4393676800000001,0.22854080459286769
