1.000000000000000000e+00	-4.991880280280280203e+03	9.967603333926535925e+03	2.497951351351351150e+03	1.816710981726646617e-03
1.100000000000000089e+00	-4.985915515515515835e+03	1.203206784680524834e+04	2.496372972972973002e+03	3.578207396648146535e-03
1.200000000000000178e+00	-4.971026226226225845e+03	1.423394045688671031e+04	2.492371771771771819e+03	7.649757745675740857e-03
1.300000000000000266e+00	-4.958150950950950573e+03	1.661886886204679467e+04	2.488941341341341285e+03	9.974886456647742705e-03
1.400000000000000355e+00	-4.910974174174174550e+03	1.890951109627309779e+04	2.475700700700700509e+03	1.872447004435317391e-02
1.500000000000000444e+00	-4.890661061061061446e+03	2.152828817678854466e+04	2.469985785785785993e+03	2.060284235104918246e-02
1.600000000000000533e+00	-4.813979579579579877e+03	2.373438373468092323e+04	2.447254454454454390e+03	5.256534476415251900e-02
1.700000000000000622e+00	-4.755912712712713073e+03	2.615440172910948240e+04	2.428276876876876941e+03	7.514352372485921805e-02
1.800000000000000711e+00	-4.691390190190189969e+03	2.853654866296719774e+04	2.411516916916917125e+03	1.120809841180840649e-01
1.900000000000000799e+00	-4.554564564564564535e+03	2.998232385601763599e+04	2.358276476476476546e+03	2.858852193661425289e-01
2.000000000000000888e+00	-4.431654054054053631e+03	3.148087359878455027e+04	2.310544944944944746e+03	5.801784448394550209e-01
2.100000000000000977e+00	-4.283933133133133197e+03	3.243917813928404212e+04	2.265840840840840883e+03	5.197956611265736049e-01
2.200000000000001066e+00	-3.966796796796796571e+03	3.064322465865099730e+04	2.087472272272272221e+03	2.411197849111291536e+00
2.300000000000001155e+00	-3.746954154154154367e+03	2.999564071814632916e+04	1.953283683683683648e+03	4.233793898950127144e+00
2.400000000000001243e+00	-3.496811211211211230e+03	2.878028312952953638e+04	1.782750150150150148e+03	1.201801532156780361e+01
2.500000000000001332e+00	-3.159055455455455558e+03	2.588384830011957092e+04	1.461539739739739844e+03	2.522827620778089752e+01
2.600000000000001421e+00	-3.121242042042042158e+03	2.743474931429585922e+04	1.476363963963963897e+03	2.759052450338076312e+01
2.700000000000001510e+00	-2.853192392392392321e+03	2.493651609619451119e+04	1.217648848848848957e+03	3.347698311884857958e+01
2.800000000000001599e+00	-2.587088288288288368e+03	2.261324417495485977e+04	9.013933933933933531e+02	5.507055438243904177e+01
2.900000000000001688e+00	-2.457057057057057136e+03	2.217676222443188090e+04	7.498428428428428560e+02	5.239109505730917249e+01
