,T,E,M,Hc,Hc_err,Msus,Msus_err
0,1.0,-4993.84,2498.44,0.019253759999999995,0.0033243123781313043,0.0012345600000000002,0.00020898382604747187
1,1.1052631578947367,-4984.32,2495.98,0.04104024816326531,0.0068042629434768055,0.003054331428571429,0.0004815684751837026
2,1.2105263157894737,-4971.68,2492.6,0.05762286094517958,0.010134184395987275,0.004824347826086957,0.0007500017582477178
3,1.3157894736842106,-4944.12,2485.12,0.12468434022399999,0.016075676983903782,0.013091942399999997,0.0015978748348014953
4,1.4210526315789473,-4912.44,2476.2,0.1281587437037037,0.018461358679958188,0.01690014814814815,0.002843417963731044
5,1.526315789473684,-4867.4,2462.92,0.2378736741973841,0.03088862900251156,0.0372854951724138,0.0061062605513879905
6,1.631578947368421,-4803.16,2443.62,0.27904126468262236,0.038463054289111676,0.04482911483870971,0.006296535673524772
7,1.736842105263158,-4708.28,2412.7,0.33806328653810824,0.0452395568800092,0.08453733333333333,0.01224600204411008
8,1.8421052631578947,-4596.72,2372.84,0.548739049012245,0.06838898651792653,0.18292426971428571,0.03895306689154421
9,1.9473684210526314,-4458.48,2317.6,0.6537902076260047,0.08705859961209036,0.29363113513513517,0.040277880664325624
10,2.052631578947368,-4273.92,2237.52,0.6829572780013151,0.10059376693471228,0.39527981948717955,0.05387620210752981
11,2.1578947368421053,-4018.92,2085.04,1.416115904723379,0.18406766117770418,1.4218225326829264,0.2292772120810283
12,2.263157894736842,-3601.44,1619.14,2.0669275739102217,0.23982591547064694,12.062497373023259,1.3337569506351723
13,2.3684210526315788,-3073.88,545.34,1.250478728217284,0.17224247408032353,21.76400927644445,1.8837995365866798
14,2.473684210526316,-2845.44,220.3,0.9384579140606611,0.11961210809894755,4.442324510638297,0.6553727241266736
15,2.5789473684210527,-2602.2,238.2,0.7875639750104124,0.12648838555652453,4.1203849795918375,0.6595936339711002
16,2.6842105263157894,-2426.04,196.08,0.659392157231834,0.08800382128013638,2.5267993599999996,0.28986598591798457
17,2.789473684210526,-2288.88,201.2,0.520092178227127,0.0789923444588962,2.6629482264150948,0.3414535440417923
18,2.894736842105263,-2149.44,154.26,0.4192558003834711,0.04831627492384529,1.639683749818182,0.25131278920424605
19,3.0,-2037.72,136.08,0.43362496,0.06887072712450173,1.39976448,0.23506428707422006
