,time
511,773.0
512,664.0
513,424.0
514,600.0
515,536.0
516,559.0
517,464.0
518,178.0
519,1319.0
520,155.0
521,1999.0
522,1087.0
523,1020.0
524,219.0
525,1198.0
526,611.0
527,1580.0
528,1163.0
529,1040.0
530,635.0
531,472.0
532,911.0
533,544.0
534,1201.0
535,216.0
536,447.0
537,708.0
538,660.0
539,185.0
540,260.0
541,1321.0
542,593.0
543,1246.0
544,457.0
545,610.0
546,601.0
547,352.0
548,908.0
549,927.0
550,1293.0
551,349.0
552,1348.0
553,280.0
554,889.0
555,845.0
556,326.0
557,712.0
558,834.0
559,690.0
560,485.0
561,1420.0
562,475.0
563,1126.0
564,382.0
565,904.0
566,515.0
567,402.0
568,471.0
569,928.0
570,285.0
571,807.0
572,941.0
573,334.0
574,1381.0
575,523.0
576,993.0
577,1396.0
578,660.0
579,1187.0
580,1320.0
581,370.0
582,1022.0
583,752.0
584,775.0
585,953.0
586,810.0
587,1072.0
588,1307.0
589,458.0
590,814.0
591,743.0
592,595.0
593,713.0
594,630.0
595,1999.0
596,431.0
597,1121.0
598,668.0
599,343.0
600,280.0
601,283.0
602,1084.0
603,508.0
604,1603.0
605,844.0
606,1210.0
607,569.0
608,795.0
609,311.0
610,1010.0
611,626.0
612,327.0
613,440.0
614,1275.0
615,560.0
616,364.0
617,431.0
618,394.0
619,169.0
620,281.0
621,1458.0
622,1434.0
623,388.0
624,642.0
625,387.0
626,645.0
627,192.0
628,514.0
629,666.0
630,1279.0
631,926.0
632,489.0
633,770.0
634,608.0
635,1026.0
636,740.0
637,509.0
638,929.0
639,1078.0
640,1037.0
641,1067.0
642,1271.0
643,238.0
644,592.0
645,693.0
646,455.0
647,1627.0
648,1333.0
649,1235.0
650,223.0
651,1091.0
652,266.0
653,351.0
654,1150.0
655,261.0
656,1305.0
657,775.0
658,1069.0
659,212.0
660,1151.0
661,1106.0
662,462.0
663,1245.0
664,1314.0
665,282.0
666,611.0
667,374.0
668,650.0
669,453.0
670,979.0
671,288.0
672,890.0
673,1403.0
674,455.0
675,439.0
676,803.0
677,665.0
678,1445.0
679,1341.0
680,287.0
681,685.0
682,330.0
683,404.0
684,1098.0
685,346.0
686,418.0
687,321.0
688,534.0
689,760.0
690,685.0
691,682.0
692,1211.0
693,394.0
694,602.0
695,527.0
696,498.0
697,548.0
698,1023.0
699,1099.0
700,1999.0
701,339.0
702,329.0
703,1034.0
704,677.0
705,257.0
706,115.0
707,231.0
708,967.0
709,877.0
710,493.0
711,1404.0
712,775.0
713,470.0
714,1365.0
715,111.0
716,1208.0
717,1101.0
718,799.0
719,146.0
720,690.0
721,312.0
722,343.0
723,879.0
724,887.0
725,653.0
726,233.0
727,557.0
728,428.0
729,1090.0
730,798.0
731,1057.0
732,494.0
733,685.0
734,428.0
735,528.0
736,339.0
737,811.0
738,434.0
739,401.0
740,472.0
741,1053.0
742,638.0
743,980.0
744,1999.0
745,423.0
746,1024.0
747,549.0
748,1351.0
749,339.0
750,424.0
751,217.0
752,377.0
753,1031.0
754,1556.0
755,278.0
756,1285.0
757,101.0
758,691.0
759,681.0
760,816.0
761,1023.0
762,1403.0
763,443.0
764,1342.0
765,1026.0
766,798.0
767,508.0
768,826.0
769,1074.0
770,1506.0
771,571.0
772,779.0
773,579.0
774,588.0
775,1328.0
776,844.0
777,947.0
778,558.0
779,752.0
780,769.0
781,579.0
782,402.0
783,899.0
784,284.0
785,298.0
786,1313.0
787,882.0
788,1461.0
789,408.0
790,828.0
791,1546.0
792,561.0
793,415.0
794,1160.0
795,774.0
796,933.0
797,461.0
798,476.0
799,502.0
800,1412.0
801,1313.0
802,686.0
803,1312.0
804,601.0
805,378.0
806,794.0
807,742.0
808,230.0
809,679.0
810,319.0
811,1241.0
812,348.0
813,514.0
814,1202.0
815,284.0
816,514.0
817,1164.0
818,1167.0
819,183.0
820,838.0
821,943.0
822,576.0
823,709.0
824,340.0
825,458.0
826,465.0
827,215.0
828,260.0
829,371.0
830,674.0
831,463.0
832,671.0
833,1103.0
834,1370.0
835,524.0
836,772.0
837,1381.0
838,1999.0
839,1335.0
840,617.0
841,368.0
842,811.0
843,1999.0
844,903.0
845,873.0
846,528.0
847,550.0
848,904.0
849,898.0
850,927.0
851,177.0
852,772.0
853,793.0
854,350.0
855,163.0
856,807.0
857,1246.0
858,952.0
859,517.0
860,482.0
861,635.0
862,1009.0
863,214.0
864,386.0
865,1146.0
866,875.0
867,420.0
868,519.0
869,498.0
870,934.0
871,658.0
872,797.0
873,455.0
874,950.0
875,1015.0
876,680.0
877,236.0
878,350.0
879,474.0
880,616.0
881,856.0
882,761.0
883,1261.0
884,399.0
885,698.0
886,1018.0
887,403.0
888,801.0
889,614.0
890,592.0
891,1189.0
892,1330.0
893,373.0
894,961.0
895,275.0
896,407.0
897,1195.0
898,190.0
899,1130.0
900,1170.0
901,1999.0
902,609.0
903,859.0
904,1019.0
905,672.0
906,1568.0
907,801.0
908,575.0
909,178.0
910,427.0
911,1116.0
912,1260.0
913,440.0
914,247.0
915,1013.0
916,729.0
917,408.0
918,271.0
919,400.0
920,1244.0
921,208.0
922,1084.0
923,1115.0
924,355.0
925,884.0
926,965.0
927,456.0
928,653.0
929,470.0
930,328.0
931,417.0
932,1314.0
933,918.0
934,279.0
935,1295.0
936,857.0
937,624.0
938,578.0
939,212.0
940,900.0
941,528.0
942,1012.0
943,1024.0
944,404.0
945,524.0
946,1026.0
947,918.0
948,798.0
949,1260.0
950,1362.0
951,854.0
952,526.0
953,422.0
954,397.0
955,895.0
956,1183.0
957,451.0
958,921.0
959,1311.0
960,500.0
961,496.0
962,1999.0
963,631.0
964,205.0
965,798.0
966,422.0
967,878.0
968,1014.0
969,534.0
970,1137.0
971,370.0
972,1999.0
973,601.0
974,1395.0
975,859.0
976,287.0
977,814.0
978,1141.0
979,1272.0
980,1013.0
981,950.0
982,379.0
983,500.0
984,1387.0
985,1242.0
986,375.0
987,320.0
988,799.0
989,263.0
990,655.0
991,1279.0
992,767.0
993,908.0
994,726.0
995,266.0
996,1374.0
997,219.0
998,502.0
999,1113.0
